Time,Username,Tweets
2022-06-06 09:24:48+00:00,HIMA KBMKM UNSOED,b'[PERPANJANGAN PENDAFTARAN KAMPUS MENGAJAR ANGKATAN 4] \n\nHallo KBMKM \xf0\x9f\x91\x8b\nPendaftaran Kampus Mengajar angkatan 4 diperp\xe2\x80\xa6 https://t.co/4XxN15oacr'
2022-06-06 09:16:53+00:00,Tanoto Foundation,b'Di sini ada tidak ya T-Friends yang memiliki aspirasi untuk menjadi peneliti dan berkontribusi pada berbagai inovas\xe2\x80\xa6 https://t.co/hlkdp1fePn'
2022-06-06 06:26:15+00:00,FEB Universitas Islam As-syafiiyah,"b'Betapa menariknya akuntansi jika seperti ini, bukan?\n\n#febuia #uiakeren #uiajaya\n#kampusmerdeka #indonesiajaya https://t.co/P3FE4yZBsE'"
2022-06-06 04:07:49+00:00,universitasalirsyad,"b'#SobatUNAIC yang ingin belajar tentang kefarmasian dan atau pemeriksaan di laboratorium, maka kuliah di Fakultas Fa\xe2\x80\xa6 https://t.co/tr6mafPQGv'"
2022-06-06 02:51:56+00:00,FPPB_UBB,b'Hai #NetizenHijau\nJMin mau mnegucapkan selamat menempuh UAS ya untuk kakak semua\n\nSemangat berjuang\n#kampus_fp2b\xe2\x80\xa6 https://t.co/KHzE5eUfnP'
2022-06-06 02:29:16+00:00,Bank Indonesia,"b'@myvvvvpersonal Selain itu, pendaftaran juga dapat dilakukan melalui portal microcredential sebagai berikut \xf0\x9f\x91\x89 https://t.co/HlQmnAyq6K'"
2022-06-06 02:15:24+00:00,#VokasiKuat,"b'Halo #SobatVokasi!\nUntuk kamu, yg tertarik bergabung &amp; penasaran dgn Program Kampus Mengajar Angkatan 4, yuk gabung\xe2\x80\xa6 https://t.co/yPc7JPPs9O'"
2022-06-06 00:45:50+00:00,universitasalirsyad,"b'ORA NGAPAK ORA KEPENAK\n#sobatUNAIC, priwe kabare?sehat mbok? Mingguan pada maring endi? \n\nHehe,, hayoo, siapa yang\xe2\x80\xa6 https://t.co/qDk7ACyyun'"
2022-06-05 14:13:32+00:00,Universitas Negeri Padang,b'Praktek Konseling Mahasiswa S3 Ilmu Pendidikan UNP Dilaksanakan di SMAN 1 Tarusan Pessel https://t.co/5Qt7SoLHE4\xe2\x80\xa6 https://t.co/myPR7NiijA'
2022-06-05 07:52:05+00:00,Mohamad Zainudin,b'Info pendaftaran kuliah :\n081227576775\n.\n.\n.\n.\n.\n#semarang\n#semaranghebat\n#kampusmerdeka\n#merdekabelajar\n#pmb\xe2\x80\xa6 https://t.co/kD0BnuuESh'
